timestamp,open,high,low,close,volume
2023-02-02 19:55:00,135.8900,135.8900,135.8900,135.8900,176
2023-02-02 19:25:00,135.8800,135.8800,135.8800,135.8800,105
2023-02-02 19:05:00,135.7200,135.7200,135.7200,135.7200,200
2023-02-02 18:55:00,135.9400,135.9400,135.9400,135.9400,300
2023-02-02 18:40:00,135.9400,135.9400,135.9400,135.9400,100
2023-02-02 18:35:00,135.9700,135.9700,135.9700,135.9700,101
2023-02-02 18:30:00,135.9400,135.9400,135.9400,135.9400,1067
2023-02-02 18:15:00,135.9400,135.9800,135.9400,135.9800,200
2023-02-02 18:10:00,135.9900,135.9900,135.9900,135.9900,500
2023-02-02 17:55:00,135.9200,135.9200,135.9200,135.9200,880
2023-02-02 17:40:00,135.9100,135.9100,135.9100,135.9100,173
2023-02-02 16:50:00,135.8100,135.8100,135.8000,135.8000,1004
2023-02-02 16:45:00,136.0000,136.0000,136.0000,136.0000,504
2023-02-02 16:35:00,135.5000,135.5000,135.5000,135.5000,721
2023-02-02 16:30:00,135.8500,135.8500,135.8500,135.8500,150
2023-02-02 16:20:00,136.2400,136.2400,136.0000,136.0000,236
2023-02-02 16:15:00,136.3900,136.3900,136.2400,136.2400,3630
2023-02-02 16:05:00,136.3900,136.3900,136.3900,136.3900,220703
2023-02-02 16:00:00,136.1800,136.4500,136.0900,136.3900,411377
2023-02-02 15:55:00,136.3400,136.4700,136.1400,136.1800,163819
2023-02-02 15:50:00,136.2100,136.3700,136.1600,136.3400,103186
2023-02-02 15:45:00,136.1900,136.3400,136.0700,136.2100,89618
2023-02-02 15:40:00,136.3100,136.3800,136.1800,136.1900,96051
2023-02-02 15:35:00,136.0600,136.3150,136.0600,136.3100,86453
2023-02-02 15:30:00,136.0400,136.1224,135.9200,136.0550,57128
2023-02-02 15:25:00,135.9310,136.0800,135.9000,136.0500,68431
2023-02-02 15:20:00,135.8950,135.9500,135.7400,135.9300,48606
2023-02-02 15:15:00,135.8800,135.9400,135.8200,135.9100,41906
2023-02-02 15:10:00,135.8700,136.1300,135.8000,135.8750,60256
2023-02-02 15:05:00,135.9300,135.9600,135.7200,135.8650,45739
2023-02-02 15:00:00,135.8200,135.9300,135.7300,135.9272,60643
2023-02-02 14:55:00,136.0700,136.1100,135.7700,135.8300,47897
2023-02-02 14:50:00,136.0957,136.1000,135.9400,136.0650,52484
2023-02-02 14:45:00,136.1200,136.1700,135.9700,136.0950,44684
2023-02-02 14:40:00,136.1400,136.2300,136.0200,136.1300,56993
2023-02-02 14:35:00,136.3700,136.3800,136.1100,136.1400,83955
2023-02-02 14:30:00,136.4204,136.4525,136.3200,136.3700,51530
2023-02-02 14:25:00,136.4000,136.4600,136.3900,136.4250,47677
2023-02-02 14:20:00,136.3900,136.4498,136.3300,136.3900,38145
2023-02-02 14:15:00,136.5400,136.5700,136.3500,136.4100,58299
2023-02-02 14:10:00,136.5900,136.6200,136.5300,136.5400,33725
2023-02-02 14:05:00,136.5500,136.7200,136.5500,136.6000,56223
2023-02-02 14:00:00,136.3950,136.5550,136.3700,136.5500,45770
2023-02-02 13:55:00,136.3050,136.3950,136.2600,136.3950,18155
2023-02-02 13:50:00,136.2500,136.4000,136.1800,136.3000,56217
2023-02-02 13:45:00,136.2400,136.3600,136.2400,136.2500,22454
2023-02-02 13:40:00,136.3300,136.3400,136.2301,136.2500,37051
2023-02-02 13:35:00,136.2600,136.3500,136.2500,136.3400,25324
2023-02-02 13:30:00,136.3400,136.3980,136.2200,136.2315,32413
2023-02-02 13:25:00,136.1700,136.3500,136.1500,136.3400,38357
2023-02-02 13:20:00,135.9850,136.1700,135.9850,136.1700,39041
2023-02-02 13:15:00,136.0200,136.0300,135.9600,135.9800,41222
2023-02-02 13:10:00,136.2400,136.2400,136.0200,136.0300,30327
2023-02-02 13:05:00,136.0800,136.2300,136.0300,136.2200,32584
2023-02-02 13:00:00,136.1600,136.1600,136.0500,136.0700,29125
2023-02-02 12:55:00,136.1800,136.1800,136.0800,136.1700,46834
2023-02-02 12:50:00,136.1600,136.2200,136.1400,136.1900,28926
2023-02-02 12:45:00,136.0990,136.2100,136.0100,136.1500,59386
2023-02-02 12:40:00,136.2300,136.2799,136.0201,136.0990,44861
2023-02-02 12:35:00,136.1200,136.2600,136.1100,136.2300,38454
2023-02-02 12:30:00,136.2500,136.2500,136.1200,136.1200,40329
2023-02-02 12:25:00,136.1000,136.2700,136.0700,136.2450,46838
2023-02-02 12:20:00,136.0400,136.1800,136.0300,136.1200,38099
2023-02-02 12:15:00,135.8600,136.0550,135.8300,136.0300,27893
